23-07-2024	14:21:51	6a308837-5dcd-4b42-aea2-3237fa1af15c	GET	undefined	/css/style.css
23-07-2024	14:21:51	37d9c006-1c62-4e2d-86da-9a9fdd5ec481	GET	undefined	/img/img1.jpg
23-07-2024	14:51:01	91f7a6a8-5ffa-4504-9613-6942cfe47375	GET	undefined	/employee
23-07-2024	14:51:22	3a8e345a-5659-4723-9ae6-07a789facb20	GET	undefined	/employee
23-07-2024	14:51:38	4f210f34-afef-4fc4-b397-b98cd9cadf54	GET	undefined	/employee
23-07-2024	14:52:03	bafaddbf-c2b9-44dc-9924-4b8c6204be2b	GET	undefined	/api/employee
23-07-2024	14:52:11	c2aebd41-a9d8-41c3-b6ed-2794b4455aa4	GET	undefined	/employee
23-07-2024	14:52:38	e7085530-9f85-4e24-9a9c-5a2e4b2ffc91	GET	undefined	/employee
23-07-2024	14:53:25	5d773b22-5e99-4cc5-856f-414aa347de1c	POST	undefined	/employee
23-07-2024	14:53:58	56c6dbd0-8038-4ce0-a437-e6445352fa49	POST	undefined	/employee
23-07-2024	14:54:15	25695430-75c8-4355-9d79-2952e8950b53	POST	undefined	/employee
23-07-2024	14:55:17	d19dc3db-97ad-4585-b61b-d43286d477f3	PUT	undefined	/employee
23-07-2024	14:55:28	ca0f76da-2413-45bb-b053-6b1c1358aeeb	DELETE	undefined	/employee
23-07-2024	14:55:54	ed5efdab-3ac6-43ff-b5d1-f552bd9912b7	GET	undefined	/1
23-07-2024	14:56:06	0fa56f44-d81a-4d14-9320-780bfdf70d8e	GET	undefined	/employee/1
